pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,sy_dist,sy_disterr1,sy_disterr2
Kepler-968 c,Kepler-968,1,1,3,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5.70940492,9.54e-06,-9.54e-06,0.0,1.69,0.08,-0.07,0.0,,,,,,,,,,,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4598.0,37.07,-38.88,0.0,0.7,0.02,-0.03,0.0,0.76,0.03,-0.04,0.0,0.13,0.133,-0.211,0.0,[Fe/H],290.324,1.448,-1.435
Kepler-968 b,Kepler-968,1,1,3,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.69298373,3.61e-06,-3.61e-06,0.0,2.0,0.08,-0.08,0.0,,,,,,,,,,,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4598.0,37.07,-38.88,0.0,0.7,0.02,-0.03,0.0,0.76,0.03,-0.04,0.0,0.13,0.133,-0.211,0.0,[Fe/H],290.324,1.448,-1.435
Kepler-1318 b,Kepler-1318,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,213.257663,0.001051,-0.001051,0.0,3.11,0.17,-0.15,0.0,,,,,,,,,,,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4598.0,63.77,-51.73,0.0,0.7,0.02,-0.03,0.0,0.73,0.03,-0.04,0.0,-0.01,0.141,-0.146,0.0,[Fe/H],475.248,5.805,-5.67
Kepler-1062 b,Kepler-1062,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,9.30412078,2.394e-05,-2.394e-05,0.0,1.76,0.09,-0.1,0.0,,,,,,,,,,,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4597.0,61.91,-73.2,0.0,0.7,0.02,-0.03,0.0,0.75,0.03,-0.04,0.0,0.11,0.142,-0.19,0.0,[Fe/H],397.455,3.632,-3.569
HAT-P-20 b,HAT-P-20,1,1,1,Transit,2010,HATNet,Published Confirmed,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,2.875317,4e-06,-4e-06,0.0,9.718,0.37,-0.37,0.0,2302.899,59.432,-59.432,0.0,2302.899,59.432,-59.432,0.0,0.015,0.005,-0.005,0.0,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,K3,4595.0,80.0,-80.0,0.0,0.69,0.02,-0.02,0.0,0.76,0.03,-0.03,0.0,0.35,0.08,-0.08,0.0,[Fe/H],71.0374,0.1994,-0.1983
Wendelstein-2 b,Wendelstein-2,1,1,1,Transit,2020,Haleakala Observatory,Published Confirmed,<a refstr=OBERMEIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A.130O/abstract target=ref>Obermeier et al. 2020</a>,1.7522239,8e-07,-8e-07,0.0,12.993,0.229,-0.235,0.0,232.33373,171.94603,-98.84513,0.0,232.33373,171.94603,-98.84513,0.0,0.057,,,1.0,<a refstr=OBERMEIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A.130O/abstract target=ref>Obermeier et al. 2020</a>,K6 V,4591.0,195.0,-195.0,0.0,0.66,0.1,-0.1,0.0,0.73,0.11,-0.11,0.0,,,,,,565.541,14.296,-13.619
Kepler-28 c,Kepler-28,1,1,2,Transit,2011,Kepler,Published Confirmed,<a refstr=STEFFEN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.421.2342S/abstract target=ref> Steffen et al. 2012 </a>,8.9858,,,0.0,3.4,,,0.0,432.23,,,1.0,432.23,,,1.0,,,,,<a refstr=STEFFEN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.421.2342S/abstract target=ref> Steffen et al. 2012 </a>,,4590.0,,,0.0,0.7,,,0.0,0.75,,,0.0,0.34,,,0.0,[M/H],438.359,4.6705,-4.6705
Kepler-28 b,Kepler-28,1,1,2,Transit,2011,Kepler,Published Confirmed,<a refstr=STEFFEN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.421.2342S/abstract target=ref> Steffen et al. 2012 </a>,5.9123,,,0.0,3.6,,,0.0,479.9,,,1.0,479.9,,,1.0,,,,,<a refstr=STEFFEN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.421.2342S/abstract target=ref> Steffen et al. 2012 </a>,,4590.0,,,0.0,0.7,,,0.0,0.75,,,0.0,0.34,,,0.0,[M/H],438.359,4.6705,-4.6705
HIP 65 A b,HIP 65 A,1,2,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,0.9809734,3.1e-06,-3.1e-06,0.0,22.754,6.837,-5.492,0.0,1021.18779,24.79074,-24.79074,0.0,1021.18779,24.79074,-24.79074,0.0,0.0,,,0.0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,K4 V,4590.0,49.0,-49.0,0.0,0.72,0.01,-0.01,0.0,0.78,0.03,-0.03,0.0,0.18,0.08,-0.08,0.0,[Fe/H],61.7856,0.0806,-0.0804
Kepler-1007 b,Kepler-1007,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5.18500207,9.32e-06,-9.32e-06,0.0,1.44,0.07,-0.07,0.0,,,,,,,,,,,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4587.0,88.05,-98.48,0.0,0.7,0.03,-0.03,0.0,0.73,0.03,-0.04,0.0,0.03,0.152,-0.16,0.0,[Fe/H],,,
Kepler-1579 b,Kepler-1579,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0.84990789,2.93e-06,-2.93e-06,0.0,0.84,0.06,-0.05,0.0,,,,,,,,,,,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4584.0,61.63,-74.2,0.0,0.7,0.02,-0.03,0.0,0.75,0.03,-0.04,0.0,0.11,0.134,-0.201,0.0,[Fe/H],,,
Kepler-1996 c,Kepler-1996,1,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,92.7297248,0.000398,-0.000398,0.0,2.81,0.2,-0.08,0.0,,,,,,,,,0.0,,,0.0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,4580.0,92.0,-92.0,0.0,0.68,0.05,-0.02,0.0,0.75,0.03,-0.04,0.0,0.08,0.15,-0.15,0.0,[Fe/H],440.561,4.42,-4.334
Kepler-1996 b,Kepler-1996,1,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,32.376183,0.0001311,-0.0001311,0.0,2.26,0.16,-0.07,0.0,,,,,,,,,0.0,,,0.0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,4580.0,92.0,-92.0,0.0,0.68,0.05,-0.02,0.0,0.75,0.03,-0.04,0.0,0.08,0.15,-0.15,0.0,[Fe/H],440.561,4.42,-4.334
HD 32518 b,HD 32518,1,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Published Confirmed,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,157.54,0.38,-0.38,0.0,,,,,,,,,966.16,216.12,-216.12,0.0,0.01,0.03,-0.03,0.0,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,K1 III,4580.0,70.0,-70.0,0.0,10.22,0.87,-0.87,0.0,1.13,0.18,-0.18,0.0,-0.15,0.04,-0.04,0.0,[Fe/H],122.115,0.306,-0.306
K2-127 b,K2-127,1,1,1,Transit,2017,K2,Published Confirmed,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,3.588163,2.8e-05,-2.9e-05,0.0,8.37,0.33,-0.33,0.0,,,,,,,,,,,,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,4575.0,74.0,-74.0,0.0,0.66,0.01,-0.01,0.0,0.72,0.01,-0.01,0.0,-0.11,0.06,-0.06,0.0,[Fe/H],709.999,20.526,-19.423
TYC 8998-760-1 b,TYC 8998-760-1,1,1,2,Imaging,2020,Paranal Observatory,Published Confirmed,<a refstr=BOHN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492..431B/abstract target=ref>Bohn et al. 2020</a>,,,,,,,,,4449.62,953.49,-953.49,0.0,4449.62,953.49,-953.49,0.0,,,,,<a refstr=BOHN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492..431B/abstract target=ref>Bohn et al. 2020</a>,K3 IV,4573.0,10.0,-10.0,0.0,,,,,1.0,0.02,-0.02,0.0,,,,,,94.6177,0.2844,-0.2828
KMT-2021-BLG-1689L b,KMT-2021-BLG-1689L,1,1,1,Microlensing,2022,KMTNet,Published Confirmed,<a refstr=YANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1872Y/abstract target=ref>Yang et al. 2022</a>,,,,,,,,,46.0,30.0,-23.0,0.0,46.0,30.0,-23.0,0.0,,,,,<a refstr=YANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1872Y/abstract target=ref>Yang et al. 2022</a>,,4570.0,,,0.0,,,,,0.58,0.33,-0.27,0.0,,,,,,7200.0,700.0,-1300.0
