JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457964.77,18.931,0.093,,R,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.350,Z,0.0,0.0,,M31_V1,,STD,0,,,
2457988.79,19.234,0.086,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.061,Z,0.0,0.0,,M31_V1,,STD,0,,,
2457988.79,18.861,0.073,,B,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.061,Z,0.0,0.0,,M31_V1,,STD,0,,,
2457988.79,18.428,0.117,,I,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.061,Z,0.0,0.0,,M31_V1,,STD,0,,,
2457988.79,19.235,0.093,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.061,Z,0.0,0.0,,M31_V1,,STD,0,,,
2457988.79,18.866,0.076,,B,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.061,Z,0.0,0.0,,M31_V1,,STD,0,,,
2457988.79,18.498,0.153,,I,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.061,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458045.62,18.787,0.069,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.087,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458045.62,17.760,0.120,,I,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.087,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458045.62,18.763,0.064,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.087,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458045.62,17.819,0.137,,I,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.087,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458073.64,18.656,0.059,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.002,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458073.64,18.907,0.074,,B,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.002,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458073.64,18.645,0.077,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.002,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458073.64,18.905,0.071,,B,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.002,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458289.49,18.626,0.011,,V,FTKB,,NA,,X23250DBQ,,0,2.624,Z,,,,M31_V1,,STD,,,,
2458307.42,19.406,0.09,,V,FTKB,,NA,,X23250DBQ,,0,2.979,Z,,,,M31_V1,,STD,,,,
2458317.81,18.419,0.062,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.316,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458317.81,19.021,0.075,,B,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.316,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458317.81,18.170,0.056,,R,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.316,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458317.81,18.420,0.070,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.316,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458317.81,19.020,0.072,,B,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.316,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458317.81,18.201,0.080,,R,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.316,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458318.44,18.613,0.011,,V,FTKB,,NA,,X23250DBQ,,0,2.074,Z,,,,M31_V1,,STD,,,,
2458319.47,18.563,0.011,,V,FTKB,,NA,,X23250DBQ,,0,1.694,Z,,,,M31_V1,,STD,,,,
2458341.82,19.614,0.127,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.067,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458341.82,18.733,0.134,,I,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.067,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458342.35,19.573,0.09,,V,FTKB,,NA,,X23250DBQ,,0,2.355,Z,,,,M31_V1,,STD,,,,
2458343.42,20.038,0.109,,V,FTKB,,NA,,X23250DBQ,,0,1.572,Z,,,,M31_V1,,STD,,,,
2458346.38,19.785,0.109,,V,FTKB,,NA,,X23250DBQ,,0,1.826,Z,,,,M31_V1,,STD,,,,
2458365.34,19.327,0.072,,V,FTKB,,NA,,X23250DBQ,,0,1.699,Z,,,,M31_V1,,STD,,,,
